Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],Latest Year Available [YR20080],"Latest Year Available, period 1990-1995 [YR19950]","Latest Year Available, period 1996-2000 [YR20006]","Latest Year Available, period 2001-2008 [YR20081]"
001. Benin_SBEE,BEN_SBEE,Labor costs (LCU/year),AFELE159,..,..,..,..,..,..,..,7424502614,8068662784,7933526537,5998426547,6879977477,..,..,..,..,6879977477,..,..,6879977477
001. Benin_SBEE,BEN_SBEE,Labor costs (USD/year),AFELE160,..,..,..,..,..,..,..,10128925.8035471,11576273.7216643,13654951.010327,11360656.3390152,13054985.7248577,..,..,..,..,13054985.7248577,..,..,13054985.7248577
001. Benin_SBEE,BEN_SBEE,Operational costs (LCU/year),AFELE178,..,..,..,..,..,..,..,30634558251,35804275809,39231758758,33644297597,35777574077,..,..,..,..,35777574077,..,..,35777574077
001. Benin_SBEE,BEN_SBEE,Operational costs (USD/year),AFELE179,..,..,..,..,..,..,..,41793394.6125512,51369118.8077475,67524541.7521515,63720260.6003788,67889134.8709677,..,..,..,..,67889134.8709677,..,..,67889134.8709677
001. Benin_SBEE,BEN_SBEE,Prepayment meters (% of all meters),AFELE187,..,..,..,..,..,..,0,0,5.94,6.03,5.64,6.87,..,..,..,..,6.87,..,..,6.87
001. Benin_SBEE,BEN_SBEE,Residential/low voltage customers with operating meters (% of residential customers),AFELE189,..,..,..,..,..,..,100,100,100,100,100,100,..,..,..,..,100,..,..,100
001. Benin_SBEE,BEN_SBEE,Revenue (LCU/year),AFELE193,..,..,..,..,..,..,..,..,..,..,..,51743840127,..,..,..,..,51743840127,..,..,51743840127
001. Benin_SBEE,BEN_SBEE,Revenue (USD/year),AFELE194,..,..,..,..,..,..,..,..,..,..,..,98185654.8899431,..,..,..,..,98185654.8899431,..,..,98185654.8899431
001. Benin_SBEE,BEN_SBEE,Revenue from commercial/medium voltage customers (LCU/year),AFELE195,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Revenue from commercial/medium voltage customers (USD/year),AFELE196,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Revenue from customers of all voltage levels (USD/year),AFELE199,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Revenue from high voltage+medium voltage customers (% of total revenue),AFELE198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Revenue from high voltage+medium voltage customers (USD/year),AFELE197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Revenue from industrial/high voltage customers (LCU/year),AFELE200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Revenue from industrial/high voltage customers (USD/year),AFELE201,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Revenue from residential/low voltage customers (LCU/year),AFELE202,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,Revenue from residential/low voltage customers (USD/year),AFELE203,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,"Revenue per high voltage customer, annual, electricity (USD/customer/year)",AFELE190,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,"Revenue per low voltage customer, annual, electricity (USD/customer/year)",AFELE191,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,"Revenue per medium voltage customer, annual, electricity (USD/customer/year)",AFELE192,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
001. Benin_SBEE,BEN_SBEE,"Revenue per unit, electricity (US cents/kWh)",AFELE120,..,..,..,..,..,..,..,..,..,..,..,14.2202279479323,..,..,..,..,14.2202279479323,..,..,14.2202279479323
001. Benin_SBEE,BEN_SBEE,System losses (% of generation),AFELE209,..,..,..,..,..,..,14.1,17.4,18.2,18.3,17.7,18.2,..,..,..,..,18.2,..,..,18.2
001. Benin_SBEE,BEN_SBEE,"Unit operational expenses, annual (LCU/kWh)",AFELE116,..,..,..,..,..,..,..,13.6124086574657,14.42954636385,14.6282660233949,11.1291029345588,11.3069666815646,..,..,..,..,11.3069666815646,..,..,11.3069666815646
001. Benin_SBEE,BEN_SBEE,"Unit operational expenses, annual (US cents/kWh)",AFELE117,..,..,..,..,..,..,..,1.8570816722327,2.07023620715209,2.51777384223664,2.10778464669674,2.14553447468018,..,..,..,..,2.14553447468018,..,..,2.14553447468018
002. Burkina Faso_Sonabel,BFA_Sonabel,Average residential connection charge (LCU/connection),AFELE118,..,..,..,..,..,..,210000,210000,210000,210000,210000,210000,..,..,..,..,210000,..,..,210000
002. Burkina Faso_Sonabel,BFA_Sonabel,Average residential connection charge (USD/connection),AFELE119,..,..,..,..,..,..,294.943820224719,286.493860845839,301.2912482066,361.44578313253,397.727272727273,398.481973434535,..,..,..,..,398.481973434535,..,..,398.481973434535
002. Burkina Faso_Sonabel,BFA_Sonabel,"Collection rate, implicit: ratio of unit revenue collected to tariff (%)",AFELE154,..,..,..,..,..,..,..,..,..,..,..,98.2017289910691,..,..,..,..,98.2017289910691,..,..,98.2017289910691
002. Burkina Faso_Sonabel,BFA_Sonabel,"Collection rate, reported by utility (% of billing)",AFELE126,..,..,..,..,..,..,..,..,..,..,..,96.4,..,..,..,..,96.4,..,..,96.4
002. Burkina Faso_Sonabel,BFA_Sonabel,"Cost of electricity per unit, capital, historical (US cents/kWh)",AFELE111,..,..,..,..,..,..,..,..,..,..,..,6.66356960518825,..,..,..,..,6.66356960518825,..,..,6.66356960518825
002. Burkina Faso_Sonabel,BFA_Sonabel,"Cost of electricity per unit, LRMC, optimal trade scenario (US cents/kWh)",AFELE114,..,..,..,..,..,..,..,..,..,..,..,25,..,..,..,..,25,..,..,25
002. Burkina Faso_Sonabel,BFA_Sonabel,"Cost of electricity per unit, LRMC, trade stagnation scenario (US cents/kWh)",AFELE115,..,..,..,..,..,..,..,..,..,..,..,26,..,..,..,..,26,..,..,26
002. Burkina Faso_Sonabel,BFA_Sonabel,"Cost of electricity per unit, operating, historical (US cents/kWh)",AFELE112,..,..,..,..,..,..,..,..,..,..,..,16.9090215224771,..,..,..,..,16.9090215224771,..,..,16.9090215224771
002. Burkina Faso_Sonabel,BFA_Sonabel,"Cost of electricity per unit, total, historical (US cents/kWh)",AFELE113,..,..,..,..,..,..,..,..,..,..,..,23.5575244127516,..,..,..,..,23.5575244127516,..,..,23.5575244127516
002. Burkina Faso_Sonabel,BFA_Sonabel,"Cost recovery ratio, historical (%)",AFELE150,..,..,..,..,..,..,..,..,..,..,..,85.1890060772306,..,..,..,..,85.1890060772306,..,..,85.1890060772306
002. Burkina Faso_Sonabel,BFA_Sonabel,"Cost recovery ratio, LRMC (%)",AFELE155,..,..,..,..,..,..,..,..,..,..,..,80.273683614496,..,..,..,..,80.273683614496,..,..,80.273683614496
002. Burkina Faso_Sonabel,BFA_Sonabel,"Customers, all voltage levels (number)",AFELE174,..,..,..,..,..,..,181905,191677,204170,226691,235127,255786,..,..,..,..,255786,..,..,255786
002. Burkina Faso_Sonabel,BFA_Sonabel,"Customers, high and medium voltage (% of total number of customers)",AFELE153,..,..,..,..,..,..,0.333140925208213,0.323982533115606,0.312974482049273,0.293791989977547,0.313872928247288,0.292041003025967,..,..,..,..,0.292041003025967,..,..,0.292041003025967
002. Burkina Faso_Sonabel,BFA_Sonabel,"Customers, high and medium voltage (number)",AFELE172,..,..,..,..,..,..,606,621,639,666,738,747,..,..,..,..,747,..,..,747
002. Burkina Faso_Sonabel,BFA_Sonabel,"Customers, high voltage (number)",AFELE171,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,0,..,..,0
002. Burkina Faso_Sonabel,BFA_Sonabel,"Customers, low voltage (number)",AFELE173,..,..,..,..,..,..,181299,191056,203531,226025,234389,255039,..,..,..,..,255039,..,..,255039
002. Burkina Faso_Sonabel,BFA_Sonabel,"Customers, medium voltage (number)",AFELE175,..,..,..,..,..,..,606,621,639,666,738,747,..,..,..,..,747,..,..,747
002. Burkina Faso_Sonabel,BFA_Sonabel,"Effective tariff, consumption 100kWh/month (US cents/kWh)",AFELE127,..,..,..,..,..,..,..,..,..,..,..,20.0453208185578,..,..,..,..,20.0453208185578,..,..,20.0453208185578
002. Burkina Faso_Sonabel,BFA_Sonabel,"Effective tariff, consumption 150kWh/month (US cents/kWh)",AFELE128,..,..,..,..,..,..,..,..,..,..,..,19.865869473794,..,..,..,..,19.865869473794,..,..,19.865869473794
002. Burkina Faso_Sonabel,BFA_Sonabel,"Effective tariff, consumption 200kWh/month (US cents/kWh)",AFELE129,..,..,..,..,..,..,..,..,..,..,..,19.7761438014122,..,..,..,..,19.7761438014122,..,..,19.7761438014122
002. Burkina Faso_Sonabel,BFA_Sonabel,"Effective tariff, consumption 300kWh/month (US cents/kWh)",AFELE130,..,..,..,..,..,..,..,..,..,..,..,20.1326559312847,..,..,..,..,20.1326559312847,..,..,20.1326559312847
002. Burkina Faso_Sonabel,BFA_Sonabel,"Effective tariff, consumption 400kWh/month (US cents/kWh)",AFELE131,..,..,..,..,..,..,..,..,..,..,..,20.310911996221,..,..,..,..,20.310911996221,..,..,20.310911996221
002. Burkina Faso_Sonabel,BFA_Sonabel,"Effective tariff, consumption 500kWh/month (US cents/kWh)",AFELE132,..,..,..,..,..,..,..,..,..,..,..,20.4178656351828,..,..,..,..,20.4178656351828,..,..,20.4178656351828
002. Burkina Faso_Sonabel,BFA_Sonabel,"Effective tariff, consumption 50kWh/month (US cents/kWh)",AFELE133,..,..,..,..,..,..,..,..,..,..,..,20.5836748528491,..,..,..,..,20.5836748528491,..,..,20.5836748528491
002. Burkina Faso_Sonabel,BFA_Sonabel,Electricity billed per commercial/medium voltage customer (kWh/customer),AFELE136,..,..,..,..,..,..,225140.264026403,224847.020933977,240688.575899844,240540.540540541,226273.712737127,265689.424364123,..,..,..,..,265689.424364123,..,..,265689.424364123
002. Burkina Faso_Sonabel,BFA_Sonabel,Electricity billed per industrial/high voltage customer (kWh/customer),AFELE134,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
002. Burkina Faso_Sonabel,BFA_Sonabel,Electricity billed per residential/low voltage customer (kWh/customer),AFELE135,..,..,..,..,..,..,1072.8465132185,1137.20584540658,1217.99627575161,1181.7276849906,1304.1994291541,1329.1692643086,..,..,..,..,1329.1692643086,..,..,1329.1692643086
